latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
53.1762,117.2078,326,1.4,1.2,2025-05-27,0154,Terra,MODIS,28,61.03,300.3,21.7,D,0
53.1457,117.5248,323.7,1.3,1.1,2025-05-27,0154,Terra,MODIS,76,61.03,299.3,22.3,D,0
53.1979,116.8601,387.5,1.4,1.2,2025-05-27,0154,Terra,MODIS,100,61.03,308.5,292.7,D,0
53.196,116.8812,352.2,1.4,1.2,2025-05-27,0154,Terra,MODIS,94,61.03,303.7,87.6,D,0
53.194,116.9026,333,1.4,1.2,2025-05-27,0154,Terra,MODIS,66,61.03,302.3,39,D,0
53.1866,116.9837,333.9,1.4,1.2,2025-05-27,0154,Terra,MODIS,84,61.03,300.6,45.4,D,0
53.1848,117.0037,336.1,1.4,1.2,2025-05-27,0154,Terra,MODIS,87,61.03,299.4,51.1,D,0
53.1377,117.5012,339.1,1.3,1.1,2025-05-27,0154,Terra,MODIS,89,61.03,301.6,50.3,D,0
53.1358,117.5214,336.1,1.3,1.1,2025-05-27,0154,Terra,MODIS,87,61.03,302.2,44,D,0
53.1875,116.8586,340,1.4,1.2,2025-05-27,0154,Terra,MODIS,90,61.03,304.2,53.6,D,0
53.1855,116.8799,351,1.4,1.2,2025-05-27,0154,Terra,MODIS,96,61.03,305,82.8,D,0
53.1837,116.9,342.8,1.4,1.2,2025-05-27,0154,Terra,MODIS,64,61.03,304.5,58.5,D,0
53.1819,116.9201,339.8,1.4,1.2,2025-05-27,0154,Terra,MODIS,74,61.03,301.6,53.3,D,0
53.1744,117.0017,331.7,1.4,1.2,2025-05-27,0154,Terra,MODIS,82,61.03,299.4,39.6,D,0
53.1558,117.2026,365.8,1.4,1.2,2025-05-27,0154,Terra,MODIS,100,61.03,306,146.9,D,0
53.1501,117.2635,348.5,1.4,1.2,2025-05-27,0154,Terra,MODIS,94,61.03,303.2,77.8,D,0
53.1482,117.283,335.3,1.4,1.2,2025-05-27,0154,Terra,MODIS,86,61.03,303.2,43,D,0
53.1463,117.3029,348.5,1.4,1.2,2025-05-27,0154,Terra,MODIS,94,61.03,304.8,80,D,0
53.1445,117.3223,317.6,1.4,1.2,2025-05-27,0154,Terra,MODIS,28,61.03,302.8,11.3,D,0
53.1864,116.7526,319.1,1.4,1.2,2025-05-27,0154,Terra,MODIS,50,61.03,299,18.3,D,0
53.179,116.8352,335.2,1.4,1.2,2025-05-27,0154,Terra,MODIS,86,61.03,303.7,41.8,D,0
53.177,116.8571,332,1.4,1.2,2025-05-27,0154,Terra,MODIS,84,61.03,304.9,35.1,D,0
53.1698,116.9368,342.5,1.4,1.2,2025-05-27,0154,Terra,MODIS,91,61.03,304.1,60.7,D,0
53.168,116.9568,338.1,1.4,1.2,2025-05-27,0154,Terra,MODIS,80,61.03,303.9,47.6,D,0
53.1642,116.9988,339.5,1.4,1.2,2025-05-27,0154,Terra,MODIS,89,61.03,301,56,D,0
53.1418,117.2408,341,1.4,1.2,2025-05-27,0154,Terra,MODIS,90,61.03,303.1,54.8,D,0
53.1399,117.2611,336.9,1.4,1.2,2025-05-27,0154,Terra,MODIS,88,61.03,302,44.7,D,0
53.138,117.2808,342,1.4,1.2,2025-05-27,0154,Terra,MODIS,91,61.03,302.7,60.7,D,0
53.1215,117.4554,325.1,1.3,1.1,2025-05-27,0154,Terra,MODIS,68,61.03,304.5,19.6,D,0
53.1778,116.7294,379.5,1.4,1.2,2025-05-27,0154,Terra,MODIS,100,61.03,303.9,243,D,0
53.176,116.7501,367.2,1.4,1.2,2025-05-27,0154,Terra,MODIS,100,61.03,305.6,165.6,D,0
53.1317,117.2374,358.7,1.4,1.2,2025-05-27,0154,Terra,MODIS,99,61.03,304.7,117.3,D,0
53.1298,117.2577,330.1,1.4,1.2,2025-05-27,0154,Terra,MODIS,51,61.03,301.6,31.6,D,0
53.1186,117.3766,323,1.3,1.1,2025-05-27,0154,Terra,MODIS,50,61.03,301.2,18.3,D,0
53.1076,117.4933,323.4,1.3,1.1,2025-05-27,0154,Terra,MODIS,71,61.03,304.7,18,D,0
53.1058,117.5119,317.4,1.3,1.1,2025-05-27,0154,Terra,MODIS,53,61.03,302.7,9.8,D,0
53.1674,116.7275,363.5,1.4,1.2,2025-05-27,0154,Terra,MODIS,100,61.03,302.5,145.8,D,0
53.1215,117.2351,342.1,1.4,1.2,2025-05-27,0154,Terra,MODIS,91,61.03,302.2,63,D,0
53.1067,117.3932,322.6,1.3,1.1,2025-05-27,0154,Terra,MODIS,34,61.03,300.3,15.8,D,0
53.2875,115.1001,412.6,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,308.2,706.6,D,0
53.2857,115.125,323.6,1.7,1.3,2025-05-27,0154,Terra,MODIS,37,61.03,297.2,25.3,D,0
53.157,116.7246,392.6,1.4,1.2,2025-05-27,0154,Terra,MODIS,100,61.03,308.8,344,D,0
53.278,115.0731,500,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,333.8,3461.4,D,0
53.2762,115.0977,500,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,357.2,3446.3,D,0
53.2744,115.1233,442,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,318.7,1297.1,D,0
53.2726,115.148,331.2,1.7,1.3,2025-05-27,0154,Terra,MODIS,61,61.03,303.1,40.4,D,0
53.1556,116.6178,312.2,1.4,1.2,2025-05-27,0154,Terra,MODIS,48,61.03,295.6,12.9,D,0
53.1538,116.6387,363,1.4,1.2,2025-05-27,0154,Terra,MODIS,100,61.03,302.3,154.5,D,0
53.152,116.6598,331.7,1.4,1.2,2025-05-27,0154,Terra,MODIS,79,61.03,299.8,42.7,D,0
53.1484,116.7013,374.3,1.4,1.2,2025-05-27,0154,Terra,MODIS,100,61.03,303.2,205.8,D,0
53.1466,116.7213,375.4,1.4,1.2,2025-05-27,0154,Terra,MODIS,100,61.03,306.9,209.9,D,0
53.1195,117.0278,326.9,1.4,1.2,2025-05-27,0154,Terra,MODIS,77,61.03,303.6,22.5,D,0
53.2667,115.0706,434.1,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,317.3,1111.5,D,0
53.2649,115.0956,439,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,327.3,1223.8,D,0
53.2631,115.1211,382.9,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,309.2,330.6,D,0
53.2612,115.1463,333.6,1.7,1.3,2025-05-27,0154,Terra,MODIS,68,61.03,302.4,47.6,D,0
53.1452,116.6143,327.4,1.4,1.2,2025-05-27,0154,Terra,MODIS,41,61.03,298.5,32.8,D,0
53.1434,116.635,349.7,1.4,1.2,2025-05-27,0154,Terra,MODIS,85,61.03,303.2,91,D,0
53.1398,116.6777,349.7,1.4,1.2,2025-05-27,0154,Terra,MODIS,72,61.03,302.9,83.4,D,0
53.138,116.6979,360.4,1.4,1.2,2025-05-27,0154,Terra,MODIS,100,61.03,304,126,D,0
53.1362,116.7183,345.2,1.4,1.2,2025-05-27,0154,Terra,MODIS,89,61.03,304.4,67.1,D,0
53.2794,115.0676,434.5,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,316.5,1120.6,D,0
53.2775,115.0922,500,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,367.2,3448.2,D,0
53.2756,115.1176,435.1,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,321.5,1131,D,0
53.2737,115.1424,357.8,1.7,1.3,2025-05-27,0154,Terra,MODIS,99,61.03,305,147.5,D,0
53.1486,116.631,360.4,1.4,1.2,2025-05-27,0154,Terra,MODIS,98,61.03,303.5,128.5,D,0
53.1467,116.6521,348.3,1.4,1.2,2025-05-27,0154,Terra,MODIS,94,61.03,303.5,73.6,D,0
53.1448,116.6735,340.9,1.4,1.2,2025-05-27,0154,Terra,MODIS,90,61.03,301.7,47.5,D,0
53.1429,116.6938,363.9,1.4,1.2,2025-05-27,0154,Terra,MODIS,100,61.03,304.4,140.6,D,0
53.1411,116.7139,363.5,1.4,1.2,2025-05-27,0154,Terra,MODIS,100,61.03,306.6,141,D,0
53.1128,117.0203,329.8,1.4,1.2,2025-05-27,0154,Terra,MODIS,59,61.03,302.4,28.3,D,0
53.2681,115.0652,414.6,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,309.7,734.9,D,0
53.2662,115.0899,447.1,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,330.9,1432.1,D,0
53.2643,115.1155,397.3,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,310.9,485.2,D,0
53.2623,115.1407,351.7,1.7,1.3,2025-05-27,0154,Terra,MODIS,96,61.03,304,119.9,D,0
53.1326,116.6905,339.2,1.4,1.2,2025-05-27,0154,Terra,MODIS,89,61.03,301.8,48.1,D,0
53.1307,116.7109,331.8,1.4,1.2,2025-05-27,0154,Terra,MODIS,83,61.03,303.4,31.7,D,0
53.0967,117.0802,322.9,1.4,1.2,2025-05-27,0154,Terra,MODIS,50,61.03,298.7,22.5,D,0
53.2568,115.0628,361.5,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,300.6,168.1,D,0
53.2549,115.0878,403.8,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,315.3,570.2,D,0
53.253,115.1137,396,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,313.3,470.2,D,0
53.251,115.1392,380.4,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,308.2,312.1,D,0
53.1222,116.6879,341.9,1.4,1.2,2025-05-27,0154,Terra,MODIS,91,61.03,302.7,58.2,D,0
53.1203,116.7084,322.7,1.4,1.2,2025-05-27,0154,Terra,MODIS,47,61.03,303.6,15.9,D,0
53.4048,112.5984,311.7,2.2,1.4,2025-05-27,0154,Terra,MODIS,58,61.03,298.3,16.7,D,0
53.2436,115.0859,449,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,322.9,1482.2,D,0
53.2417,115.1109,353.3,1.7,1.3,2025-05-27,0154,Terra,MODIS,97,61.03,306.7,124.2,D,0
53.2398,115.1367,375.1,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,306.5,269.3,D,0
53.1194,116.5997,352.3,1.4,1.2,2025-05-27,0154,Terra,MODIS,96,61.03,303.5,95.1,D,0
53.0858,116.9722,321.1,1.4,1.2,2025-05-27,0154,Terra,MODIS,28,61.03,301.2,16,D,0
53.0839,116.9923,333.5,1.4,1.2,2025-05-27,0154,Terra,MODIS,85,61.03,303,42.4,D,0
53.249,114.8573,370.9,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,298.1,253.5,D,0
53.2341,115.0594,361.3,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,302.9,166.6,D,0
53.2322,115.0846,363,1.7,1.3,2025-05-27,0154,Terra,MODIS,100,61.03,306.1,176.6,D,0
53.2303,115.1098,344,1.7,1.3,2025-05-27,0154,Terra,MODIS,92,61.03,304.1,82.1,D,0
