latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
61.72461,-121.09718,322.76,0.38,0.36,2025-09-13,1032,N20,VIIRS,n,2.0NRT,256.55,8.39,N
61.7235,-121.09019,321.41,0.38,0.36,2025-09-13,1032,N20,VIIRS,n,2.0NRT,257.88,5.84,N
61.71094,-121.12228,324.99,0.38,0.36,2025-09-13,1032,N20,VIIRS,n,2.0NRT,254.74,6.91,N
61.70996,-121.1385,322.12,0.38,0.36,2025-09-13,1032,N20,VIIRS,n,2.0NRT,251.45,5.84,N
61.61411,-120.8874,325.92,0.38,0.36,2025-09-13,1032,N20,VIIRS,n,2.0NRT,257.38,4.65,N
61.59113,-120.94231,328.21,0.38,0.36,2025-09-13,1032,N20,VIIRS,n,2.0NRT,256.43,3.2,N
61.57889,-120.86578,321.49,0.38,0.36,2025-09-13,1032,N20,VIIRS,n,2.0NRT,253.31,4.41,N
61.58795,-120.94453,334.22,0.38,0.36,2025-09-13,1032,N20,VIIRS,n,2.0NRT,257.92,6.65,N
61.57844,-120.95122,322.59,0.38,0.36,2025-09-13,1032,N20,VIIRS,n,2.0NRT,261.09,7.37,N
61.57859,-120.97433,323.07,0.38,0.36,2025-09-13,1032,N20,VIIRS,n,2.0NRT,257.07,3.34,N
61.57527,-120.95345,325.54,0.38,0.36,2025-09-13,1032,N20,VIIRS,n,2.0NRT,263.54,7.23,N
61.57542,-120.97655,328.74,0.38,0.36,2025-09-13,1032,N20,VIIRS,n,2.0NRT,260.77,3.34,N
61.57336,-120.98573,322.62,0.38,0.36,2025-09-13,1032,N20,VIIRS,n,2.0NRT,257.64,4.72,N
59.54531,-111.50472,297.31,0.4,0.44,2025-09-13,1032,N20,VIIRS,n,2.0NRT,280.95,1.99,N
59.55131,-111.54636,325.51,0.4,0.44,2025-09-13,1032,N20,VIIRS,n,2.0NRT,287.08,4.22,N
59.54972,-111.54008,323.84,0.4,0.44,2025-09-13,1032,N20,VIIRS,n,2.0NRT,290.1,2.44,N
59.54488,-111.52103,329.63,0.4,0.44,2025-09-13,1032,N20,VIIRS,n,2.0NRT,290.94,3.17,N
59.54812,-111.53378,300.43,0.4,0.44,2025-09-13,1032,N20,VIIRS,n,2.0NRT,285.3,2.44,N
59.5465,-111.5274,315.87,0.4,0.44,2025-09-13,1032,N20,VIIRS,n,2.0NRT,287.41,3.17,N
59.54166,-111.50833,315.71,0.4,0.44,2025-09-13,1032,N20,VIIRS,n,2.0NRT,282.2,1.99,N
59.54004,-111.50198,309.88,0.4,0.44,2025-09-13,1032,N20,VIIRS,n,2.0NRT,281.55,1.44,N
