latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
53.52097,9.90341,339.9,0.56,0.69,2025-07-01,0013,N20,VIIRS,n,2.0NRT,286.48,4.95,N
53.8797,9.58291,296.55,0.58,0.69,2025-07-01,0013,N20,VIIRS,n,2.0NRT,286.18,1.1,N
53.51553,10.03237,298.7,0.55,0.68,2025-07-01,0013,N20,VIIRS,n,2.0NRT,286,1.34,N
53.51558,10.04083,297.02,0.55,0.68,2025-07-01,0013,N20,VIIRS,n,2.0NRT,286.92,1.49,N
53.14261,8.67703,307.69,0.63,0.72,2025-07-01,0013,N20,VIIRS,n,2.0NRT,288.89,2.4,N
53.13593,8.67729,315.54,0.63,0.72,2025-07-01,0013,N20,VIIRS,n,2.0NRT,288.2,2.4,N
53.12962,8.69677,297.94,0.63,0.72,2025-07-01,0013,N20,VIIRS,n,2.0NRT,287.13,2.03,N
53.13953,8.66929,303.02,0.63,0.72,2025-07-01,0013,N20,VIIRS,n,2.0NRT,286.71,1.45,N
53.13968,8.67903,304.01,0.63,0.72,2025-07-01,0013,N20,VIIRS,n,2.0NRT,288.65,1.45,N
53.133,8.67927,316.61,0.63,0.72,2025-07-01,0013,N20,VIIRS,n,2.0NRT,288.63,3.64,N
53.12662,8.69879,306.87,0.63,0.72,2025-07-01,0013,N20,VIIRS,n,2.0NRT,287.35,2.6,N
52.56588,7.29507,299.03,0.72,0.75,2025-07-01,0013,N20,VIIRS,n,2.0NRT,287.88,2.36,N
52.56622,7.30607,307,0.72,0.75,2025-07-01,0013,N20,VIIRS,n,2.0NRT,289.1,2.39,N
52.5689,7.30163,312.44,0.72,0.75,2025-07-01,0013,N20,VIIRS,n,2.0NRT,287.82,1.81,N
52.35746,9.88798,305.73,0.56,0.69,2025-07-01,0013,N20,VIIRS,n,2.0NRT,287.32,1.11,N
52.17362,14.62446,318.87,0.35,0.57,2025-07-01,0013,N20,VIIRS,n,2.0NRT,285.59,1.74,N
52.17345,14.62962,303.86,0.35,0.57,2025-07-01,0013,N20,VIIRS,n,2.0NRT,285.06,1.63,N
52.20877,8.04457,298.75,0.67,0.73,2025-07-01,0013,N20,VIIRS,n,2.0NRT,288.06,0.87,N
52.2085,8.04465,299.03,0.67,0.73,2025-07-01,0013,N20,VIIRS,n,2.0NRT,288.22,0.65,N
52.16455,10.41652,314.3,0.53,0.67,2025-07-01,0013,N20,VIIRS,n,2.0NRT,289.17,3.95,N
52.16455,10.43247,298.96,0.53,0.67,2025-07-01,0013,N20,VIIRS,n,2.0NRT,286.97,0.73,N
52.15829,10.40065,318.85,0.53,0.67,2025-07-01,0013,N20,VIIRS,n,2.0NRT,289.26,3.59,N
52.15829,10.40857,316.15,0.53,0.67,2025-07-01,0013,N20,VIIRS,n,2.0NRT,288.71,3.59,N
52.15204,10.40066,324.05,0.53,0.67,2025-07-01,0013,N20,VIIRS,n,2.0NRT,288.47,2.94,N
51.76962,8.05286,303.9,0.67,0.73,2025-07-01,0013,N20,VIIRS,n,2.0NRT,289.91,0.81,N
51.48934,6.70912,308.82,0.76,0.77,2025-07-01,0013,N20,VIIRS,n,2.0NRT,291.87,4.32,N
51.48251,6.72084,309.34,0.76,0.77,2025-07-01,0013,N20,VIIRS,n,2.0NRT,291.02,3.83,N
51.46135,6.73343,302.72,0.76,0.77,2025-07-01,0013,N20,VIIRS,n,2.0NRT,290.99,1.15,N
53.52736,9.90333,302.45,0.56,0.69,2025-07-01,0013,N20,VIIRS,n,2.0NRT,287.24,1.46,N
51.37184,6.69731,307.18,0.76,0.77,2025-07-01,0013,N20,VIIRS,n,2.0NRT,290.31,4.92,N
51.29978,7.01195,302.89,0.74,0.76,2025-07-01,0013,N20,VIIRS,n,2.0NRT,290.49,1.44,N
51.27273,11.65733,302.22,0.46,0.64,2025-07-01,0013,N20,VIIRS,n,2.0NRT,285.62,1.03,N
51.2693,11.65648,296.2,0.46,0.64,2025-07-01,0013,N20,VIIRS,n,2.0NRT,285.53,1.04,N
49.95686,9.76942,299,0.56,0.68,2025-07-01,0013,N20,VIIRS,n,2.0NRT,288.66,1.3,N
49.35807,6.74736,307.26,0.76,0.77,2025-07-01,0016,N20,VIIRS,n,2.0NRT,289.62,3,N
49.3506,6.73664,303.17,0.76,0.77,2025-07-01,0016,N20,VIIRS,n,2.0NRT,288.96,1.5,N
49.3555,6.73971,302.05,0.76,0.77,2025-07-01,0016,N20,VIIRS,n,2.0NRT,288.86,3.16,N
48.33738,9.73232,304.44,0.55,0.68,2025-07-01,0016,N20,VIIRS,n,2.0NRT,288.6,1.7,N
53.87441,9.58798,307.94,0.46,0.39,2025-07-01,0154,N20,VIIRS,n,2.0NRT,286.57,0.86,N
53.51392,10.04029,309.86,0.48,0.4,2025-07-01,0154,N20,VIIRS,n,2.0NRT,289.14,1.4,N
53.51044,10.03822,303.17,0.48,0.4,2025-07-01,0154,N20,VIIRS,n,2.0NRT,287.1,0.95,N
53.52265,9.90757,323.69,0.47,0.4,2025-07-01,0154,N20,VIIRS,n,2.0NRT,289.88,1.81,N
53.52409,9.9008,303.97,0.47,0.4,2025-07-01,0154,N20,VIIRS,n,2.0NRT,289.37,2.05,N
53.52231,9.90724,327.82,0.47,0.4,2025-07-01,0154,N20,VIIRS,n,2.0NRT,289.38,1.92,N
53.52373,9.90046,301.02,0.47,0.4,2025-07-01,0154,N20,VIIRS,n,2.0NRT,289.32,1.92,N
52.16882,14.63786,300.43,0.49,0.49,2025-07-01,0154,N20,VIIRS,n,2.0NRT,285.99,1.25,N
52.1702,14.63837,299.28,0.49,0.49,2025-07-01,0154,N20,VIIRS,n,2.0NRT,284.84,0.93,N
52.39853,12.4995,299.57,0.4,0.45,2025-07-01,0154,N20,VIIRS,n,2.0NRT,286.54,0.79,N
53.14113,8.67598,320.36,0.44,0.39,2025-07-01,0154,N20,VIIRS,n,2.0NRT,289.64,2.53,N
53.13774,8.67409,303.41,0.44,0.39,2025-07-01,0154,N20,VIIRS,n,2.0NRT,288.89,2.36,N
53.13646,8.68045,299.55,0.44,0.39,2025-07-01,0154,N20,VIIRS,n,2.0NRT,289.28,2.36,N
