latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
37.64245,-76.81956,303.78,1.9,1.35,2025-07-01,0134,Terra,MODIS,57,6.1NRT,279.94,12.82,N
35.71791,-92.23316,301.7,1.05,1.03,2025-07-01,0315,Terra,MODIS,43,6.1NRT,288.37,4.61,N
37.64835,-115.41371,314.36,1.26,1.11,2025-07-01,0451,Terra,MODIS,89,6.1NRT,293.49,17.4,N
37.39925,-113.43285,306.01,1.6,1.25,2025-07-01,0451,Terra,MODIS,31,6.1NRT,288.51,13.57,N
35.59647,-109.25446,321.5,2.84,1.61,2025-07-01,0451,Terra,MODIS,100,6.1NRT,290.13,89.22,N
35.5983,-109.22381,322.56,2.86,1.61,2025-07-01,0451,Terra,MODIS,100,6.1NRT,290,94.37,N
35.58586,-109.19158,304.1,2.87,1.62,2025-07-01,0451,Terra,MODIS,27,6.1NRT,287.02,28.15,N
35.59072,-109.27893,305.93,2.83,1.61,2025-07-01,0451,Terra,MODIS,59,6.1NRT,287.65,34.23,N
35.59273,-109.24857,323.87,2.84,1.61,2025-07-01,0451,Terra,MODIS,100,6.1NRT,290.77,100.74,N
35.59475,-109.21793,315.03,2.86,1.61,2025-07-01,0451,Terra,MODIS,72,6.1NRT,289.26,61.45,N
33.13627,-110.35374,307.8,2.23,1.45,2025-07-01,0451,Terra,MODIS,58,6.1NRT,296.81,14.09,N
33.12155,-110.37639,327.82,2.23,1.45,2025-07-01,0451,Terra,MODIS,100,6.1NRT,297.47,72.27,N
33.1234,-110.35312,333.77,2.23,1.45,2025-07-01,0451,Terra,MODIS,100,6.1NRT,297.88,98.52,N
33.11054,-110.35237,306.2,2.23,1.45,2025-07-01,0451,Terra,MODIS,30,6.1NRT,295.01,13.27,N
37.41029,-113.43366,308.08,1.6,1.25,2025-07-01,0451,Terra,MODIS,61,6.1NRT,288.61,16.77,N
37.63849,-115.4127,358.06,1.26,1.11,2025-07-01,0451,Terra,MODIS,100,6.1NRT,302.33,112.97,N
37.63718,-115.42506,349.48,1.25,1.11,2025-07-01,0451,Terra,MODIS,100,6.1NRT,301.33,85.13,N
45.23034,-123.16554,305.47,1.04,1.02,2025-07-01,0453,Terra,MODIS,64,6.1NRT,294.8,6.61,N
48.10472,-120.73267,339.29,1.05,1.02,2025-07-01,0455,Terra,MODIS,100,6.1NRT,291.03,46.13,N
48.111,-120.75534,320.59,1.05,1.02,2025-07-01,0455,Terra,MODIS,100,6.1NRT,288.55,21.77,N
48.11266,-120.7418,306.86,1.05,1.02,2025-07-01,0455,Terra,MODIS,69,6.1NRT,288.41,9.97,N
48.10111,-120.76137,307.41,1.04,1.02,2025-07-01,0455,Terra,MODIS,71,6.1NRT,286.8,9.82,N
48.10295,-120.7468,378.73,1.05,1.02,2025-07-01,0455,Terra,MODIS,100,6.1NRT,298.72,159.85,N
65.12903,-148.15973,310.39,2.07,1.4,2025-07-01,0501,Terra,MODIS,70,6.1NRT,288.97,27.53,D
64.68329,-148.47386,302.18,2.22,1.44,2025-07-01,0501,Terra,MODIS,48,6.1NRT,290.75,13.56,D
67.74558,-143.95178,301.89,1.27,1.12,2025-07-01,0501,Terra,MODIS,36,6.1NRT,284.13,8.51,D
64.68426,-148.46849,302.71,2.22,1.44,2025-07-01,0501,Terra,MODIS,50,6.1NRT,290.92,14.41,D
19.40264,-155.28944,327.95,3.13,1.68,2025-07-01,0805,Terra,MODIS,100,6.1NRT,293.53,147.02,N
19.40585,-155.26711,313.96,3.14,1.68,2025-07-01,0805,Terra,MODIS,84,6.1NRT,291.01,79.09,N
19.40318,-155.29646,324.09,3.13,1.68,2025-07-01,0805,Terra,MODIS,100,6.1NRT,291.32,128.13,N
19.41737,-155.29163,307.69,3.13,1.68,2025-07-01,0805,Terra,MODIS,42,6.1NRT,286.72,51.8,N
33.93584,-93.85233,301.88,1.09,1.04,2025-07-01,0932,Aqua,MODIS,45,6.1NRT,291.24,4.43,N
42.6843,-111.57909,307.79,1.64,1.26,2025-07-01,1106,Aqua,MODIS,73,6.1NRT,283.16,23,N
42.68818,-111.59779,304.18,1.63,1.26,2025-07-01,1106,Aqua,MODIS,59,6.1NRT,282.81,18.33,N
48.10445,-120.74146,331.55,1.3,1.13,2025-07-01,1106,Aqua,MODIS,100,6.1NRT,287.88,49.33,N
48.11418,-120.73757,304.46,1.3,1.13,2025-07-01,1106,Aqua,MODIS,60,6.1NRT,285.17,12.91,N
37.01824,-110.91245,312.78,2.53,1.53,2025-07-01,1108,Aqua,MODIS,86,6.1NRT,294.03,43.85,N
37.02655,-110.90594,323.19,2.53,1.53,2025-07-01,1108,Aqua,MODIS,100,6.1NRT,294.71,82.13,N
